id,title,description,publishedDate,clave_compuesta,Book_ratings_count,Book_average_rating
ayczzwEACAAJ,El Señor De Los Anillos,Desconocido,1988,el señor de los anillos_1988,189671,3.9
FlGcUAnpMmIC,Hobbit'S Travels,"Printed on deluxe recycled parchment paper, this journal celebrating J. R. R. Tolkien's classic tales makes a lovely gift, and is just as nice to keep! With magical two-color illustrations throughout (drawings made by Frodo Baggins's devoted companion, Sam Gamgee, on their travels throughout Middle-earth), it provides ample space for recording personal thoughts, reflections on Tolkien's masterpiece, or fantasies of your own creation.",2002,hobbit's travels_2002,206792,4.42
cURzPgAACAAJ,El Señor De Los Anillos,Desconocido,1993,el señor de los anillos_1993,195424,4.18
T8P3AAAACAAJ,"Tolkien, El Señor De Los Anillos",Desconocido,2004,"tolkien, el señor de los anillos_2004",173469,4.29
RYr8sgEACAAJ,Fellowship Of The Ring,Desconocido,2000,fellowship of the ring_2000,139411,3.76
q0JyPwAACAAJ,"El Señor De Los Anillos, I","En la adormecida e idílica Comarca, un joven hobbit recibe un encargo: custodiar el Anillo Único y emprender el viaje para su destrucción en las Grietas del Destino. Acompañado por magos, hombres, elfos y enanos, atravesará la Tierra Media y se internará en las sombras de Mordor, perseguido siempre por las huestes de Sauron, el Señor Oscuro, dispuesto a recuperar su creación para establecer el dominio definitivo del Mal.",2002,"el señor de los anillos, i_2002",159752,3.8
e1ZJzwEACAAJ,El Señor De Los Anillos 3. El Retorno Del Rey (Tv Tie-In). The Lord Of The Rings 3. The Return Of The King (Tv Tie-In) (Spanish Edition),"La última parte del viaje de Frodo y Sam Los ejércitos del Señor Oscuro van extendiendo cada vez más su maléfica sombra por la Tierra Media. Hombres, elfos y enanos unen sus fuerzas para presentar batalla a Sauron y sus huestes. Ajenos a estos preparativos, Frodo y Sam siguen adentrándose en el país de Mordor en su heroico viaje para destruir el Anillo de Poder en las Grietas del Destino. ENGLISH DESCRIPTION The Return of the King is the third part of J.R.R. Tolkien's epic adventure The Lord of the Rings. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them. The Dark Lord has risen, and as he unleashes hordes of Orcs to conquer all Middle-earth, Frodo and Sam struggle deep into his realm in Mordor. To defeat Sauron, the One Ring must be destroyed in the fires of Mount Doom. But the way is impossibly hard, and Frodo is weakening. The Ring corrupts all who bear it and Frodo's time is running out. Will Sam and Frodo succeed, or will the Dark Lord rule Middle-earth once more?",2022,el señor de los anillos 3. el retorno del rey (tv tie-in). the lord of the rings 3. the return of the king (tv tie-in) (spanish edition)_2022,156328,3.9
IOyjMQEACAAJ,The Power Of The Ring,"Digging deep into J. R. R. Tolkien's spiritual biography--his religious scholarship and his love of both Christian and pagan myth--Stratford Caldecott offers a critical study of how the acclaimed author effectively created a vivid Middle Earth using the familiar rites and ceremonies of human history. And while readers and moviegoers alike may appreciate the fantasy world of The Hobbit and the Lord of the Rings trilogy, few know that in life, Tolkien was a devout Roman Catholic and that the characters, the events, and the general morality of each novel are informed by the dogmas of his faith. Revised and updated, this acclaimed study of Tolkien's achievement--previously released as Secret Fire in the UK--includes commentary on Peter Jackson's film adaptations and explores many of the fascinating stories and letters published after Tolkien's death.",2012,the power of the ring_2012,160860,4.28
neSkMQEACAAJ,El Señor De Los Anillos 1.,"La Compania se ha disuelto y sus integrantes emprenden caminos separados. Frodo y Sam continuan solos su viaje a lo largo del rio Anduin, perseguidos por la sombra misteriosa de un ser extrano que tambien ambiciona la posesion del Anillo. Mientras, hombres, elfos y enanos se preparan para la batalla final contra las fuerzas del Senor del Mal.",2012,el señor de los anillos 1._2012,133271,4.17
o5WfPwAACAAJ,El Señor De Los Anillos,Desconocido,Desconocido,el señor de los anillos_Desconocido,138454,3.74
U7sA0AEACAAJ,El Señor De Los Anillos Iii,"Los ejércitos del Señor Oscuro van extendiendo cada vez más su maléfica sombra por la Tierra Media. Hombres, elfos y enanos unen sus fuerzas para presentar batalla a Sauron y sus huestes. Ajenos a estos preparativos, Frodo y Sam siguen adentrándose en el país de Mordor en su heroico viaje para destruir el Anillo de Poder en las Grietas del Destino.",Desconocido,el señor de los anillos iii_Desconocido,142092,4.1
sA3CAAAACAAJ,El Senor De Los Anillos Iii,Desconocido,2004,el senor de los anillos iii_2004,153821,3.87
Av6RMQEACAAJ,La Comunidad Del Anillo,"En la adormecida e idilica Comarca, un joven hobbit recibe un encargo : custodiar el Anillo Único y emprender el viaje para su destrucción en las Grietas del Destino. Acompañado por magos, hombres, elfos y enanos, atravesará la Tierra Media y se internará en las sombras de Mordor, perseguido siempre por las huestes de Sauron, el Señor Oscuro, dispuesto a recuperar su creación para establecer el dominio definitivo del Mal. (Source : 4e de couverture).",2012,la comunidad del anillo_2012,157395,4.38
HZXrAQAACAAJ,El Señor De Los Anillos,Desconocido,1993,el señor de los anillos_1993,156869,4.12
